kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Gowa,2024,4653.29,603.85,1287.16,33.18,24.24,1658.73,2204.79,288.31,520.21,2254.29,346.26,1356.29,22.96,822.55,759.16,417.55,294.17,17547.0,72.26,6.85,5.39,0.33,3.91,814.04,37.77,39.8,55.13,0.6416,CUKUP INKLUSIF
Gowa,2025,4955.86,640.16,1412.5,32.99,25.41,1760.61,2319.12,305.14,570.94,2383.13,374.43,1529.49,24.21,846.12,814.23,458.91,328.8,18782.06,74.22,6.64,7.04,0.32,4.25,827.0,41.35,47.39,54.04,0.6955,INKLUSIF
Jeneponto,2010,1718.1,65.24,126.84,5.77,3.44,349.07,469.97,37.24,9.51,140.99,69.5,93.57,0.84,277.4,89.76,77.53,21.32,3556.09,58.31,19.09,6.59,0.4,6.33,342.7,10.34,22.48,65.4,0.4556,CUKUP INKLUSIF
Jeneponto,2011,1893.63,69.38,137.41,7.04,3.79,365.73,499.97,40.16,10.46,152.62,72.0,100.66,0.88,301.24,96.1,82.42,22.83,3856.3,58.95,17.16,8.44,0.39,5.06,346.31,11.83,22.63,59.6,0.498,CUKUP INKLUSIF
Jeneponto,2012,2047.77,76.86,143.0,7.96,4.05,385.08,548.1,43.43,11.5,176.53,81.38,104.81,0.89,306.65,98.56,86.96,23.95,4147.46,59.62,16.59,7.55,0.38,4.35,348.68,13.54,22.79,58.0,0.4992,CUKUP INKLUSIF
Jeneponto,2013,2150.36,84.31,156.46,8.55,4.37,416.92,593.26,46.66,12.29,207.54,90.54,111.2,0.94,319.15,101.64,93.54,25.15,4422.9,60.55,16.52,6.64,0.37,2.77,351.11,15.01,22.94,58.1,0.5029,CUKUP INKLUSIF
Jeneponto,2014,2349.83,96.19,171.6,10.03,4.57,439.07,646.06,51.52,13.57,215.86,99.64,115.2,0.94,326.24,104.59,101.93,26.8,4773.64,61.45,15.31,7.93,0.36,2.7,353.29,17.42,23.09,54.2,0.5397,CUKUP INKLUSIF
Jeneponto,2015,2453.88,111.56,183.04,10.0,4.6,477.65,711.27,55.72,15.44,238.91,104.47,123.72,1.0,341.89,112.17,111.42,29.21,5085.92,61.61,15.18,6.54,0.36,4.0,355.45,19.69,23.24,53.87,0.5203,CUKUP INKLUSIF
Jeneponto,2016,2638.36,125.88,195.93,10.5,4.82,512.75,791.96,58.88,17.55,263.19,117.1,131.46,1.06,368.72,119.35,119.45,31.88,5508.83,61.81,15.49,8.32,0.36,4.0,357.84,21.94,23.39,55.32,0.5495,CUKUP INKLUSIF
Jeneponto,2017,2776.81,141.08,212.98,11.09,5.08,632.5,877.24,64.25,19.74,287.65,118.1,135.76,1.14,387.43,128.66,129.22,34.83,5963.56,62.67,15.4,8.25,0.33,3.31,359.92,23.94,23.54,55.34,0.5799,CUKUP INKLUSIF
Jeneponto,2018,2807.77,157.06,222.88,12.53,5.48,736.55,985.55,70.79,22.21,316.46,121.17,142.64,1.23,415.76,141.11,141.01,38.56,6338.74,63.33,15.48,6.29,0.31,2.81,361.89,26.03,20.75,55.95,0.572,CUKUP INKLUSIF
Jeneponto,2019,2834.8,169.68,242.48,13.57,5.49,774.33,1099.36,78.47,24.36,352.35,118.3,151.58,1.33,477.14,152.16,147.51,42.69,6685.62,64.0,14.88,5.47,0.33,1.99,363.75,27.74,22.39,54.05,0.5522,CUKUP INKLUSIF
Jeneponto,2020,2809.75,168.8,242.4,14.58,5.79,759.75,1081.87,74.72,21.63,403.73,123.96,155.37,1.34,475.97,161.27,156.62,38.88,6696.42,64.26,14.58,0.16,0.35,2.31,401.61,25.7,20.33,53.24,0.4597,CUKUP INKLUSIF
Jeneponto,2021,2916.99,162.41,252.77,16.79,6.16,784.75,1191.33,82.87,24.18,428.4,132.65,161.81,1.4,513.49,171.53,169.72,41.1,7058.35,64.56,14.28,5.4,0.35,2.38,405.24,27.28,21.32,52.35,0.5426,CUKUP INKLUSIF
Jeneponto,2022,2813.74,170.62,276.2,22.05,6.73,837.42,1359.48,99.03,28.75,463.47,128.48,167.96,1.53,542.52,182.53,181.2,45.8,7327.53,65.13,13.73,3.81,0.34,2.21,409.89,28.74,22.21,50.59,0.5321,CUKUP INKLUSIF
Jeneponto,2023,2678.63,188.84,285.36,25.77,7.19,864.25,1471.5,108.4,31.77,537.75,121.74,179.03,1.45,520.37,190.44,203.51,50.54,7466.55,65.9,13.06,1.9,0.34,2.13,414.48,29.32,24.55,48.32,0.5115,CUKUP INKLUSIF
Jeneponto,2024,2884.89,194.56,297.11,26.8,7.36,884.82,1543.5,114.86,33.74,573.75,124.71,189.36,1.5,549.44,208.85,224.38,57.05,7916.7,66.38,11.82,6.03,0.3,2.47,418.97,31.17,21.78,43.9,0.6088,CUKUP INKLUSIF
Jeneponto,2025,3095.25,199.03,320.45,24.87,7.61,930.46,1647.8,119.6,36.87,605.74,134.56,200.58,1.57,595.9,217.43,238.54,62.55,8438.81,70.25,11.42,6.59,0.3,1.88,423.4,34.11,21.07,42.56,0.6597,CUKUP INKLUSIF
Luwu,2010,2644.3,104.36,259.25,5.28,0.96,506.67,541.61,42.91,38.38,101.42,61.05,297.3,0.98,286.93,148.42,70.08,14.1,5123.99,63.95,15.43,7.15,0.43,6.81,332.48,15.36,36.77,51.5,0.504,CUKUP INKLUSIF
Luwu,2011,2814.83,113.08,276.96,5.75,1.08,545.26,603.44,45.26,42.7,119.61,70.71,325.7,1.13,299.1,169.52,78.95,15.23,5528.31,64.71,13.93,7.89,0.42,7.41,336.99,17.43,38.23,46.9,0.5309,CUKUP INKLUSIF
Luwu,2012,2932.21,128.39,286.13,6.63,1.13,575.62,681.08,48.14,46.32,145.81,78.13,364.84,1.33,305.44,195.84,101.41,16.65,5915.1,65.43,13.34,7.0,0.42,10.55,340.49,19.67,39.68,45.5,0.5253,CUKUP INKLUSIF
Luwu,2013,3140.46,143.04,296.17,7.61,1.16,604.53,739.93,50.87,48.99,180.56,90.45,394.49,1.48,315.88,219.28,119.89,17.91,6372.7,66.39,15.1,7.74,0.42,7.14,343.79,22.34,41.14,52.0,0.5471,CUKUP INKLUSIF
Luwu,2014,3527.36,159.19,316.15,9.19,1.17,613.48,790.69,55.45,50.81,190.17,94.57,423.91,1.6,324.43,224.79,132.45,18.62,6934.03,67.34,13.95,8.81,0.41,5.1,347.1,25.98,42.59,48.5,0.5811,CUKUP INKLUSIF
Luwu,2015,3756.05,168.83,330.2,8.53,1.18,646.04,864.5,59.15,54.01,218.1,104.32,452.54,1.79,344.66,255.29,151.7,20.53,7437.42,68.11,13.89,7.26,0.36,7.86,349.99,29.59,44.05,48.64,0.6025,CUKUP INKLUSIF
Luwu,2016,4048.68,184.04,359.81,10.07,1.3,678.28,938.88,61.94,58.2,237.43,120.24,484.98,1.95,372.23,279.76,163.39,22.19,8023.37,68.71,14.35,7.88,0.36,7.86,353.84,33.55,45.5,50.58,0.6185,CUKUP INKLUSIF
Luwu,2017,4267.8,200.41,387.11,10.67,1.41,712.78,999.37,65.73,61.63,258.05,126.83,517.08,2.19,389.6,302.25,240.35,24.62,8567.87,69.02,14.01,6.79,0.4,4.78,357.23,36.56,46.95,49.8,0.5761,CUKUP INKLUSIF
Luwu,2018,4565.48,212.83,414.03,11.47,1.5,756.96,1080.04,74.81,68.4,281.68,130.8,541.09,2.37,398.37,329.74,258.38,27.64,9155.58,69.6,13.36,6.86,0.36,3.89,360.54,40.2,25.39,47.91,0.6128,CUKUP INKLUSIF
Luwu,2019,4747.14,227.42,457.47,11.93,1.56,823.64,1173.45,81.81,72.56,309.75,136.65,572.49,2.56,446.86,354.86,278.88,29.93,9728.97,70.39,12.78,6.26,0.35,4.38,363.75,43.04,30.07,46.18,0.6197,CUKUP INKLUSIF
Luwu,2020,4762.2,231.8,426.7,12.6,1.7,839.6,1166.7,73.8,69.7,349.7,144.5,605.6,2.5,446.1,380.7,313.3,28.9,9855.9,70.51,12.65,1.3,0.4,4.94,365.61,43.91,25.96,46.04,0.509,CUKUP INKLUSIF
Luwu,2021,5014.2,240.6,459.4,13.3,1.7,854.2,1279.6,79.5,76.8,377.1,157.5,642.7,2.6,473.1,399.9,346.2,31.3,10449.8,70.85,12.53,6.03,0.38,4.8,369.36,48.3,25.65,46.26,0.5993,CUKUP INKLUSIF
Luwu,2022,5265.6,251.0,480.1,13.8,1.9,934.5,1391.4,92.7,90.4,399.0,158.3,673.5,2.9,471.7,416.2,367.7,34.0,11044.7,71.36,12.49,5.69,0.36,3.85,374.32,53.38,29.17,46.5,0.6143,CUKUP INKLUSIF
Luwu,2023,5386.4,275.4,501.0,15.7,1.9,1081.2,1531.7,100.8,101.2,433.7,153.6,711.0,3.2,489.2,450.8,394.0,37.3,11668.1,72.16,12.71,5.64,0.34,3.7,379.3,57.36,35.09,47.67,0.637,CUKUP INKLUSIF
Luwu,2024,5480.1,290.3,577.8,16.9,1.9,1116.0,1655.4,108.0,108.2,467.5,159.8,753.9,3.4,488.5,479.3,426.5,43.1,12176.5,72.79,11.7,4.36,0.32,4.14,384.28,59.73,36.96,44.24,0.6391,CUKUP INKLUSIF
Luwu,2025,5884.1,302.8,764.9,15.7,2.1,1175.6,1737.9,112.7,118.1,486.1,169.4,766.7,3.6,536.7,501.1,457.0,47.4,13081.7,74.66,10.97,7.43,0.33,3.71,389.3,63.45,33.51,41.76,0.6989,INKLUSIF
Luwu Timur,2010,1842.4,7828.18,241.08,4.17,0.67,735.95,325.79,56.36,12.36,103.49,61.07,137.13,3.89,216.72,165.81,90.23,8.85,11834.16,68.47,9.18,13.19,0.5,13.22,243.07,48.54,38.58,22.4,0.5942,CUKUP INKLUSIF
Luwu Timur,2011,1978.47,7029.09,263.6,4.57,0.82,761.45,341.43,60.46,13.17,122.07,73.61,154.47,4.35,228.52,170.96,110.0,9.56,11326.59,68.94,8.29,-4.29,0.48,7.16,250.22,55.28,38.99,20.4,0.3483,CUKUP INKLUSIF
Luwu Timur,2012,2067.84,7319.61,289.18,5.57,0.84,844.91,385.18,64.61,14.78,147.24,88.47,170.72,4.69,234.54,190.27,124.44,10.37,11963.26,69.34,7.72,5.62,0.47,8.12,256.7,59.47,39.4,19.9,0.5106,CUKUP INKLUSIF
Luwu Timur,2013,2157.28,7706.18,322.6,6.16,0.87,944.13,416.16,69.6,17.97,172.01,98.45,188.88,5.1,244.24,220.19,136.39,11.07,12717.28,69.53,8.38,6.3,0.46,6.28,263.01,63.35,39.82,22.2,0.5304,CUKUP INKLUSIF
Luwu Timur,2014,2353.14,8392.37,356.64,7.04,0.89,965.94,433.19,76.99,18.77,182.08,108.52,213.03,5.28,248.81,227.12,146.31,11.9,13748.02,69.75,7.67,8.1,0.44,8.1,269.4,70.63,40.23,20.8,0.5748,CUKUP INKLUSIF
Luwu Timur,2015,2550.58,8831.74,383.21,7.42,0.89,1046.27,470.4,82.8,19.91,201.52,114.51,228.78,5.59,270.97,243.59,159.92,12.97,14631.06,70.43,7.18,6.42,0.47,5.37,275.13,69.73,40.64,19.67,0.5347,CUKUP INKLUSIF
Luwu Timur,2016,2758.79,8634.51,413.31,8.47,0.94,1119.64,506.28,85.92,21.7,219.67,121.59,245.48,6.01,275.66,258.94,171.27,14.15,14862.31,70.95,7.52,1.58,0.43,5.37,280.35,61.72,41.05,21.08,0.4961,CUKUP INKLUSIF
Luwu Timur,2017,2955.13,8668.0,430.91,9.09,1.05,1188.71,549.46,91.41,22.9,241.3,126.06,261.71,6.4,294.12,272.68,184.29,15.49,15318.72,71.46,7.66,3.07,0.41,2.58,285.01,63.71,41.46,21.94,0.539,CUKUP INKLUSIF
Luwu Timur,2018,3150.53,8681.49,455.67,9.63,1.14,1279.37,606.13,100.79,25.59,266.31,134.02,274.47,7.07,330.23,296.29,201.79,17.26,15837.8,72.16,7.23,3.39,0.4,2.18,289.66,69.41,29.72,21.15,0.5589,CUKUP INKLUSIF
Luwu Timur,2019,3183.97,8447.71,521.87,10.03,1.21,1403.98,669.82,111.86,27.79,294.89,141.69,295.87,7.82,348.46,317.69,219.43,18.86,16022.95,72.8,6.98,1.17,0.39,3.81,294.29,71.34,42.33,20.83,0.5395,CUKUP INKLUSIF
Luwu Timur,2020,3175.95,8587.77,507.75,10.52,1.32,1448.2,662.57,97.39,24.23,328.12,147.33,313.48,7.15,345.81,337.64,245.15,16.54,16256.9,73.22,6.85,1.46,0.41,4.46,296.74,72.85,34.86,20.82,0.5339,CUKUP INKLUSIF
Luwu Timur,2021,3308.98,7916.77,541.15,11.17,1.47,1559.0,707.1,103.94,24.8,353.19,154.8,331.4,7.42,366.5,356.56,268.62,17.62,16030.5,73.34,6.94,-1.39,0.4,4.96,300.03,78.71,36.7,20.99,0.4992,CUKUP INKLUSIF
Luwu Timur,2022,3254.37,8048.03,581.75,11.79,1.61,1598.88,762.5,116.07,27.26,376.91,158.51,351.83,7.89,377.25,367.14,288.51,18.91,16349.21,73.92,6.81,1.99,0.39,4.48,304.3,93.36,38.61,20.89,0.5642,CUKUP INKLUSIF
Luwu Timur,2023,3293.12,9395.08,566.92,12.49,1.65,1697.12,793.34,119.47,28.39,364.59,164.95,354.14,8.34,406.18,396.82,306.21,19.63,17928.43,74.35,6.93,9.66,0.39,5.42,308.53,99.49,37.28,21.57,0.6855,INKLUSIF
Luwu Timur,2024,3400.12,9552.43,583.21,13.7,1.54,1842.74,826.95,122.73,29.81,369.84,180.48,369.01,8.94,441.0,426.03,324.52,21.48,18514.53,74.95,6.55,3.29,0.35,4.58,312.73,97.2,37.4,20.7,0.6245,CUKUP INKLUSIF
Luwu Timur,2025,3588.0,9845.0,618.0,13.0,2.0,1898.0,852.0,116.0,31.0,381.0,220.0,381.0,9.0,449.0,431.0,344.0,22.0,19202.0,77.28,5.79,3.7,0.37,3.7,316.9,99.87,36.88,18.55,0.6417,CUKUP INKLUSIF
Luwu Utara,2010,2289.98,40.77,186.54,4.89,0.19,437.39,415.39,74.15,35.66,118.75,53.07,110.03,0.78,241.94,209.03,35.82,1.2,4255.59,64.77,16.24,6.27,0.59,4.9,287.47,14.76,29.56,46.8,0.3826,CUKUP INKLUSIF
Luwu Utara,2011,2459.15,48.37,195.94,5.13,0.22,471.25,437.81,84.43,39.58,143.53,65.92,121.63,0.82,253.18,229.9,39.6,1.27,4597.71,65.57,14.64,8.04,0.56,4.47,291.41,16.95,30.07,42.6,0.4402,CUKUP INKLUSIF
Luwu Utara,2012,2550.01,65.06,209.65,6.24,0.24,515.92,489.81,92.02,44.54,166.16,77.57,136.69,0.86,260.75,254.12,40.04,1.31,4911.0,65.99,14.03,6.81,0.53,5.03,294.4,18.89,30.59,41.4,0.4481,CUKUP INKLUSIF
Luwu Utara,2013,2668.58,73.87,220.04,6.98,0.26,570.44,537.83,101.27,50.46,203.49,82.56,151.15,0.92,281.34,279.48,44.15,1.35,5274.16,66.4,15.52,7.39,0.5,4.84,297.31,21.32,31.11,46.2,0.4833,CUKUP INKLUSIF
Luwu Utara,2014,2931.46,86.87,238.24,8.19,0.27,598.46,582.35,107.25,56.07,216.53,85.6,164.55,1.01,290.29,321.81,49.11,1.47,5739.51,66.9,14.31,8.82,0.47,1.8,299.99,25.3,31.63,43.0,0.5325,CUKUP INKLUSIF
Luwu Utara,2015,3068.59,100.53,254.27,7.75,0.27,647.94,631.12,116.62,61.04,244.0,91.91,178.44,1.08,306.81,356.59,53.67,1.58,6122.22,67.44,13.87,6.67,0.37,2.6,302.41,28.73,32.14,41.89,0.5789,CUKUP INKLUSIF
Luwu Utara,2016,3291.61,110.18,270.71,9.15,0.29,693.88,687.69,127.42,66.82,266.47,106.17,195.28,1.15,306.28,387.95,58.1,1.74,6580.9,67.81,14.36,7.49,0.41,2.6,305.46,32.02,32.66,43.75,0.5662,CUKUP INKLUSIF
Luwu Utara,2017,3444.79,120.5,294.94,9.69,0.31,794.68,781.35,139.54,73.98,289.71,105.38,212.04,1.25,322.22,425.54,63.33,1.91,7081.17,68.35,14.33,7.6,0.36,3.31,308.14,35.02,33.18,44.04,0.6103,CUKUP INKLUSIF
Luwu Utara,2018,3721.22,136.59,313.78,10.36,0.34,849.4,873.03,151.97,81.99,315.99,108.34,220.57,1.37,358.57,460.03,69.54,2.11,7675.2,68.79,13.69,8.39,0.36,3.87,310.74,38.65,21.26,42.43,0.6272,CUKUP INKLUSIF
Luwu Utara,2019,3806.79,148.52,367.85,11.15,0.37,968.45,989.07,174.22,92.49,350.72,111.64,233.81,1.55,395.61,488.5,78.09,2.37,8221.2,69.46,13.6,7.11,0.36,2.76,313.26,41.65,28.19,42.48,0.6151,CUKUP INKLUSIF
Luwu Utara,2020,3722.53,153.0,358.51,11.81,0.39,958.02,976.02,158.69,84.35,386.68,118.52,240.23,1.42,398.8,515.55,86.06,2.15,8172.74,69.57,13.41,-0.59,0.34,3.01,322.92,41.07,30.04,42.2,0.5139,CUKUP INKLUSIF
Luwu Utara,2021,3925.73,157.89,375.98,12.11,0.41,970.3,994.06,159.87,86.84,406.99,129.61,243.35,1.49,406.04,526.96,91.67,2.21,8491.5,70.02,13.59,3.9,0.34,3.91,325.99,44.2,26.08,43.15,0.5871,CUKUP INKLUSIF
Luwu Utara,2022,4061.19,155.71,380.33,12.67,0.44,1027.34,1041.14,177.95,92.96,451.03,129.31,247.37,1.58,433.01,569.35,93.31,2.26,8876.97,70.51,13.22,4.54,0.35,2.81,329.89,48.65,29.54,42.29,0.5948,CUKUP INKLUSIF
Luwu Utara,2023,4190.2,154.93,407.63,13.71,0.45,1202.19,1107.68,188.52,95.07,475.12,122.46,271.37,1.65,423.44,572.2,102.02,2.42,9331.06,71.34,12.66,5.12,0.34,2.63,333.78,53.45,25.14,40.79,0.6201,CUKUP INKLUSIF
Luwu Utara,2024,4417.66,159.1,442.18,14.32,0.46,1080.73,1195.8,203.43,105.11,511.31,129.79,287.8,1.71,451.77,615.82,112.65,2.81,9732.44,72.07,11.24,4.3,0.27,2.39,337.66,58.31,29.34,36.46,0.6668,INKLUSIF
Luwu Utara,2025,4618.46,172.07,461.27,14.75,0.5,1226.29,1265.51,222.8,111.07,537.54,151.08,303.88,1.8,481.95,640.97,119.66,3.03,10332.63,74.81,10.74,6.17,0.32,2.24,341.5,64.54,28.25,35.03,0.6887,INKLUSIF
Makassar,2010,392.43,2.68,12565.97,25.13,155.92,9263.53,11121.43,1583.73,1366.88,5733.2,2812.12,2177.98,668.2,2320.59,5379.6,1503.37,1483.7,58556.47,77.63,5.86,9.83,0.41,13.34,1338.66,43.61,59.94,78.7,0.7094,INKLUSIF
Makassar,2011,405.1,2.06,13403.46,27.07,170.92,9762.02,12782.73,1707.55,1499.53,6605.88,3424.4,2381.07,727.16,2524.97,5924.35,1653.97,1619.86,64622.1,77.82,5.29,10.36,0.42,8.41,1364.95,49.29,59.36,71.7,0.7123,INKLUSIF
Makassar,2012,403.24,1.56,14551.46,31.94,179.52,10900.01,13685.16,1845.41,1648.72,7762.9,3972.65,2597.28,785.08,2533.54,6420.88,1774.26,1757.42,70851.04,78.47,5.02,9.64,0.42,9.97,1387.03,56.24,58.77,69.9,0.7084,INKLUSIF
Makassar,2013,431.81,1.32,15759.79,33.66,193.6,12038.05,14556.07,1975.87,1779.09,8778.28,4312.83,2834.58,849.17,2567.85,7001.0,1908.69,1885.77,76907.41,78.98,4.7,8.55,0.43,9.53,1408.07,62.75,58.18,66.4,0.6902,INKLUSIF
Makassar,2014,465.61,1.13,16985.53,40.13,196.3,13284.17,15658.93,2105.27,1897.32,9277.4,4547.3,3100.37,906.04,2607.64,7409.07,2084.75,2025.86,82592.82,79.35,4.48,7.39,0.43,10.9,1429.24,70.24,57.59,64.2,0.6766,INKLUSIF
Makassar,2015,478.11,0.97,18077.51,38.24,197.17,14415.64,16762.34,2212.73,2014.49,10125.62,4882.85,3347.93,952.18,2905.99,7999.27,2248.32,2168.81,88828.15,79.94,4.38,7.55,0.4,12.02,1447.68,78.94,57.01,63.24,0.7074,INKLUSIF
Makassar,2016,497.71,0.84,19558.17,42.29,201.33,15585.75,18271.24,2312.6,2184.96,11081.12,5520.29,3418.46,1009.67,2840.63,8596.48,2464.25,2371.84,95957.64,80.53,4.56,8.03,0.4,12.02,1467.95,87.13,56.42,66.78,0.7212,INKLUSIF
Makassar,2017,505.59,0.77,20806.6,45.0,215.19,16897.85,20112.43,2516.61,2375.28,12168.29,5841.81,3497.12,1094.12,3004.0,9442.55,2707.72,2595.25,103826.16,81.13,4.59,8.2,0.4,10.59,1485.94,95.67,55.83,68.19,0.7304,INKLUSIF
Makassar,2018,504.69,0.66,20856.68,49.36,228.61,18397.67,22484.33,2737.52,2682.32,13735.37,6152.6,3648.89,1205.39,3500.85,10434.5,3001.17,2947.8,112568.41,81.73,4.41,8.42,0.38,12.19,1503.66,106.23,65.03,66.22,0.7549,INKLUSIF
Makassar,2019,526.0,0.58,22728.08,53.87,224.81,20034.23,25142.39,2995.64,2849.88,14916.42,6366.61,3835.37,1354.93,3770.96,11120.17,3285.55,3260.35,122465.83,82.25,4.28,8.79,0.39,9.83,1521.09,117.3,67.82,65.12,0.7589,INKLUSIF
Makassar,2020,508.93,0.0,21767.9,51.52,236.02,20232.8,23777.63,2476.09,2284.79,16487.16,6482.79,3838.84,1200.58,3754.75,11302.84,3680.34,2822.79,120905.75,82.25,4.54,-1.27,0.4,15.92,1423.88,125.32,61.63,69.98,0.5987,CUKUP INKLUSIF
Makassar,2021,518.31,0.0,22678.92,54.0,244.66,21101.29,25119.55,2641.16,2326.3,17525.17,6282.85,3949.18,1266.83,3917.66,11695.48,3952.68,3038.78,126312.83,82.66,4.82,4.47,0.4,13.18,1434.44,132.68,60.64,74.69,0.6905,INKLUSIF
Makassar,2022,532.42,0.0,24726.64,58.66,256.92,21371.12,26747.84,3138.09,2791.54,18129.79,6290.56,4100.56,1447.45,4016.18,11881.44,4323.44,3319.95,133132.6,83.12,4.58,5.4,0.4,11.82,1444.88,144.6,60.61,71.83,0.7096,INKLUSIF
Makassar,2023,537.8,0.0,25610.98,61.22,261.23,22025.08,28032.66,3470.42,3138.85,19770.53,6535.84,4290.05,1582.69,4311.62,12224.81,4676.24,3667.88,140197.9,83.52,5.07,5.31,0.39,10.6,1454.96,155.95,61.4,80.32,0.72,INKLUSIF
Makassar,2024,564.16,0.0,26839.53,63.03,273.26,22260.26,29532.42,3687.61,3346.79,21104.45,7122.77,4516.17,1700.69,4307.36,13130.23,5321.21,4223.27,147993.2,83.9,4.97,5.56,0.37,9.71,1464.64,165.96,59.7,79.53,0.7426,INKLUSIF
Makassar,2025,589.34,0.0,28427.66,63.38,285.93,23154.9,30968.88,3885.92,3545.07,22219.86,7731.04,4767.16,1820.09,4337.82,13679.19,5734.59,4684.75,155895.57,85.66,4.43,5.34,0.39,9.6,1473.9,177.34,63.88,71.63,0.7439,INKLUSIF
Maros,2010,1359.11,371.19,1262.62,4.66,9.02,358.84,260.38,3454.17,27.18,121.15,124.07,126.86,2.2,329.56,146.98,48.22,34.85,8041.07,64.07,14.62,12.4,0.47,9.74,319.0,22.85,53.63,46.6,0.5559,CUKUP INKLUSIF
Maros,2011,1452.21,460.62,1522.05,5.87,9.48,413.87,283.5,3399.71,29.08,127.03,129.88,132.77,2.3,340.4,154.3,53.61,35.55,8552.22,64.95,13.14,11.24,0.46,6.94,324.1,26.54,54.95,42.4,0.5552,CUKUP INKLUSIF
Maros,2012,1563.81,557.48,1818.38,7.25,9.89,462.96,308.21,3269.96,30.96,131.94,135.37,138.61,2.4,351.47,160.28,59.22,36.31,9044.51,65.5,12.56,11.14,0.45,6.43,328.0,31.79,56.26,41.3,0.567,CUKUP INKLUSIF
Maros,2013,1601.41,624.61,1967.11,7.93,10.49,535.78,326.54,3441.36,32.91,140.73,142.17,144.71,2.54,361.66,171.58,63.93,36.82,9612.26,66.06,12.94,6.28,0.44,5.71,331.8,36.07,57.57,43.1,0.5066,CUKUP INKLUSIF
Maros,2014,1750.0,736.33,2337.24,9.66,10.81,573.02,354.45,3161.03,34.75,143.7,147.01,150.43,2.62,373.17,174.91,69.99,37.71,10066.82,66.65,11.93,4.73,0.4,4.6,335.6,40.11,58.89,40.1,0.5188,CUKUP INKLUSIF
Maros,2015,1888.86,828.87,2586.45,8.97,10.87,627.45,371.95,3407.38,37.14,153.27,153.62,158.7,2.71,398.31,180.15,76.29,39.22,10930.22,67.13,11.85,8.44,0.44,6.99,338.92,45.94,60.2,40.08,0.5512,CUKUP INKLUSIF
Maros,2016,2069.24,955.85,2653.47,10.04,10.98,675.64,396.96,3917.73,39.63,160.21,168.98,167.67,2.8,432.04,187.36,80.8,40.99,11970.4,67.76,11.41,9.5,0.41,6.99,342.48,52.09,61.51,39.02,0.5962,CUKUP INKLUSIF
Maros,2017,2203.48,1142.05,2733.88,10.65,12.17,737.51,415.44,4175.99,41.56,168.7,169.51,178.65,3.06,453.02,193.92,84.11,44.6,12768.32,68.42,11.14,6.81,0.37,6.85,345.63,56.12,62.83,38.5,0.5918,CUKUP INKLUSIF
Maros,2018,2312.48,1253.53,2747.09,11.23,13.08,807.44,451.11,4541.58,46.55,179.84,176.66,190.66,3.37,478.68,207.04,88.46,49.94,13558.74,68.94,10.31,6.19,0.34,6.19,348.68,60.92,44.69,35.97,0.61,CUKUP INKLUSIF
Maros,2019,2434.72,1419.9,2787.67,11.93,15.2,950.69,508.1,4040.99,53.22,190.75,189.05,204.73,3.74,540.34,224.92,93.74,56.59,13726.28,69.5,9.89,1.24,0.38,4.42,351.65,64.6,46.38,34.85,0.5117,CUKUP INKLUSIF
Maros,2020,2378.99,1432.11,2604.39,11.36,17.33,1084.87,497.27,2606.87,43.12,214.95,196.64,217.65,3.71,359.4,231.46,102.68,52.87,12233.66,69.86,9.74,-10.87,0.37,6.28,391.77,47.73,42.86,34.62,0.3389,CUKUP INKLUSIF
Maros,2021,2572.86,1522.62,2388.25,11.74,17.55,1135.85,515.35,2612.26,44.75,228.88,203.56,225.0,3.83,517.84,233.43,110.68,56.16,12400.62,70.41,9.57,1.36,0.37,6.3,396.29,47.96,45.68,34.11,0.5308,CUKUP INKLUSIF
Maros,2022,2603.62,1565.6,2504.76,12.14,17.85,1165.43,532.49,3485.34,47.32,230.94,201.97,235.27,3.91,517.73,236.52,112.12,59.93,13532.96,71.0,9.43,9.13,0.36,5.04,402.15,58.55,46.36,33.9,0.6627,INKLUSIF
